group,key,english,hindi,santali_current,santali_corrected,reviewer_note,edit_in_file
1 · Drill and hazard instructions,ar_aim_prompt,Point the phone at the correct marker and hold,फ़ोन सही मार्कर पर रखें और स्थिर रखें,ᱯᱷᱚᱱ ᱴᱷᱤᱠ ᱢᱟᱨᱠᱚᱨ ᱛᱮ ᱫᱚᱦᱚᱭ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,ar_camera_denied,Camera permission was refused. Allow camera access in your browser settings to use the AR drill.,कैमरा अनुमति नहीं मिली। एआर ड्रिल के लिए ब्राउज़र सेटिंग्स में कैमरा अनुमति दें।,ᱠᱮᱢᱨᱟ ᱦᱩᱠᱩᱢ ᱵᱟᱝ ᱧᱟᱢ ᱞᱮᱱᱟ ᱾ AR ᱛᱟᱞᱤᱢ ᱞᱟᱹᱜᱤᱫ ᱵᱨᱟᱣᱡᱚᱨ ᱥᱮᱴᱤᱝᱥ ᱨᱮ ᱠᱮᱢᱨᱟ ᱵᱚᱞᱚ ᱮᱢ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,ar_camera_in_use,The camera is being used by another app. Close it and try again.,कैमरा दूसरे ऐप में चल रहा है। उसे बंद करके फिर कोशिश करें।,ᱠᱮᱢᱨᱟ ᱮᱴᱟᱜ ᱮᱯ ᱨᱮ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ ᱾ ᱚᱱᱟ ᱵᱚᱸᱫᱚᱭ ᱠᱟᱛᱮ ᱫᱚᱦᱲᱟ ᱠᱩᱨᱩᱢᱩᱴᱩᱭ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,ar_camera_missing,No camera was found on this device.,इस डिवाइस पर कैमरा नहीं मिला।,ᱱᱚᱶᱟ ᱡᱤᱱᱤᱥ ᱨᱮ ᱠᱮᱢᱨᱟ ᱵᱟᱝ ᱧᱟᱢ ᱞᱮᱱᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,ar_camera_unknown,The camera could not start.,कैमरा शुरू नहीं हो सका।,ᱠᱮᱢᱨᱟ ᱵᱟᱝ ᱮᱦᱚᱵ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,ar_camera_unsupported,This browser cannot open the camera.,यह ब्राउज़र कैमरा नहीं खोल सकता।,ᱱᱚᱶᱟ ᱵᱨᱟᱣᱡᱚᱨ ᱠᱮᱢᱨᱟ ᱵᱟᱝ ᱡᱷᱤᱡ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,ar_enable_motion,Allow motion access,मोशन अनुमति दें,ᱢᱳᱥᱚᱱ ᱵᱚᱞᱚ ᱮᱢ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,ar_generic_zone,This site has not been scanned. Showing a generic layout — ask your supervisor to run Site Setup.,यह साइट स्कैन नहीं हुई। सामान्य लेआउट दिख रहा है — सुपरवाइज़र से साइट सेटअप कराएं।,ᱱᱚᱶᱟ ᱴᱷᱟᱶ ᱵᱟᱝ ᱥᱠᱮᱱ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱾ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱱᱚᱠᱥᱟ ᱩᱫᱩᱜ ᱠᱟᱱᱟ — ᱥᱩᱯᱚᱨᱣᱟᱭᱡᱚᱨ ᱛᱮ ᱴᱷᱟᱶ ᱥᱟᱡᱟᱣ ᱠᱟᱹᱢᱤ ᱠᱟᱠᱷᱟᱨ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,ar_no_compass_body,"This device has no usable compass, so markers cannot be anchored to real directions. The 3D view teaches the same decisions.","इस डिवाइस में उपयोगी कंपास नहीं है, इसलिए मार्कर असली दिशा से नहीं जुड़ सकते। 3D व्यू वही निर्णय सिखाता है।","ᱱᱚᱶᱟ ᱡᱤᱱᱤᱥ ᱨᱮ ᱠᱟᱹᱢᱤᱭᱟᱜ ᱠᱚᱢᱯᱟᱥ ᱵᱟᱝ, ᱚᱱᱟᱛᱮ ᱢᱟᱨᱠᱚᱨ ᱠᱚ ᱥᱟᱹᱨᱤ ᱦᱚᱨ ᱨᱮ ᱵᱟᱝ ᱡᱚᱲᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾ 3D ᱧᱮᱞ ᱚᱱᱟ ᱜᱮ ᱴᱷᱮᱭᱟᱣ ᱠᱚ ᱦᱚᱠᱚᱭᱟ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,ar_no_compass_title,No motion sensor,मोशन सेंसर नहीं,ᱢᱳᱥᱚᱱ ᱥᱮᱱᱥᱚᱨ ᱵᱟᱝ,,,i18nSantali.js
