module,path,field,english,hindi,santali_new,translator_note
fire-explosion,fire-explosion.title,title,Fire & Explosion Response,आग और विस्फोट प्रतिक्रिया,,
fire-explosion,fire-explosion.intro,intro,A spark from a grinding operation near a fuel storage area has ignited a small fire on the steel plant floor. You are the nearest worker.,स्टील प्लांट के फर्श पर ग्राइंडिंग कार्य से निकली चिंगारी से ईंधन भंडारण क्षेत्र के पास एक छोटी सी आग लग गई है। आप निकटतम श्रमिक हैं।,,
fire-explosion,fire-explosion.steps[0].prompt,prompt,You spot the fire. What is your first action?,आपको आग दिखती है। आपकी पहली प्रतिक्रिया क्या है?,,
fire-explosion,fire-explosion.steps[0].choices[0].text,option,Try to put it out yourself with whatever is nearby,जो भी पास में हो उससे इसे खुद बुझाने की कोशिश करें,,
fire-explosion,fire-explosion.steps[0].choices[0].feedback,feedback,Acting without identifying the fire type or your nearest exit first risks trapping you. Always confirm your evacuation route before engaging any fire.,आग के प्रकार या अपने निकटतम निकास की पहचान किए बिना कार्य करना आपको फंसा सकता है। किसी भी आग से निपटने से पहले हमेशा अपना निकासी मार्ग सुनिश्चित करें।,,
fire-explosion,fire-explosion.steps[0].choices[1].text,option,"Identify your nearest marked exit, then raise the alarm","अपना निकटतम चिह्नित निकास पहचानें, फिर अलार्म बजाएं",,
fire-explosion,fire-explosion.steps[0].choices[1].feedback,feedback,Correct. Exit identification comes first — you can only fight a fire safely if your escape route is confirmed and clear.,सही। निकास पहचान सबसे पहले आती है — आप आग से तभी सुरक्षित रूप से लड़ सकते हैं जब आपका बचाव मार्ग सुनिश्चित और साफ हो।,,
fire-explosion,fire-explosion.steps[1].prompt,prompt,"The fire is small, contained to a waste bin, and you are trained on extinguisher use. Which extinguisher do you grab?","आग छोटी है, एक कचरे के डिब्बे तक सीमित है, और आप अग्निशामक यंत्र के उपयोग में प्रशिक्षित हैं। आप कौन सा अग्निशामक यंत्र उठाते हैं?",,
fire-explosion,fire-explosion.steps[1].choices[0].text,option,Any extinguisher within reach,पहुंच में जो भी अग्निशामक यंत्र हो,,
fire-explosion,fire-explosion.steps[1].choices[0].feedback,feedback,"Using the wrong extinguisher class on a fuel or electrical fire can make it worse — water on an oil fire, for example, spreads flame violently.",ईंधन या इलेक्ट्रिकल आग पर गलत श्रेणी का अग्निशामक यंत्र इस्तेमाल करने से यह और खराब हो सकती है — जैसे तेल की आग पर पानी डालने से आग हिंसक रूप से फैलती है।,,
fire-explosion,fire-explosion.steps[1].choices[1].text,option,Check the label for the correct class (e.g. CO2/foam for flammable liquid) before using it,उपयोग से पहले सही श्रेणी के लिए लेबल जांचें (जैसे ज्वलनशील तरल के लिए CO2/फोम),,
fire-explosion,fire-explosion.steps[1].choices[1].feedback,feedback,Correct. Confirming the extinguisher class takes two seconds and prevents turning a small fire into a major one.,सही। अग्निशामक यंत्र की श्रेणी की पुष्टि करने में दो सेकंड लगते हैं और यह छोटी आग को बड़ी आग में बदलने से रोकता है।,,
fire-explosion,fire-explosion.steps[2].prompt,prompt,The fire suddenly grows and black smoke fills the area. What now?,आग अचानक बढ़ जाती है और काला धुआं क्षेत्र को भर देता है। अब क्या?,,
fire-explosion,fire-explosion.steps[2].choices[0].text,option,Keep trying to extinguish it since you already started,इसे बुझाने की कोशिश जारी रखें क्योंकि आपने पहले ही शुरू कर दिया है,,
fire-explosion,fire-explosion.steps[2].choices[0].feedback,feedback,"Once a fire exceeds what a handheld extinguisher can control, continuing to fight it risks your life. Evacuation always overrides firefighting at this point.","एक बार जब आग हाथ में अग्निशामक यंत्र की क्षमता से अधिक हो जाए, तो उससे लड़ना जारी रखना आपकी जान जोखिम में डालता है। इस बिंदु पर निकासी हमेशा अग्निशमन पर हावी होती है।",,
fire-explosion,fire-explosion.steps[2].choices[1].text,option,"Abandon extinguishing, follow the evacuation sequence, and account for your team at the muster point","बुझाना छोड़ दें, निकासी क्रम का पालन करें, और मस्टर पॉइंट पर अपनी टीम का हिसाब रखें",,
fire-explosion,fire-explosion.steps[2].choices[1].feedback,feedback,"Correct. Evacuation sequencing — stop, exit via the nearest safe route, report to muster point — is the standard protocol once a fire escalates.","सही। निकासी क्रम — रुकें, निकटतम सुरक्षित मार्ग से बाहर निकलें, मस्टर पॉइंट पर रिपोर्ट करें — आग बढ़ने पर मानक प्रोटोकॉल है।",,
fire-explosion,fire-explosion.steps[3].prompt,prompt,You are evacuating. You pass a fire door held open with a wooden wedge.,आप निकल रहे हैं। रास्ते में एक फायर डोर लकड़ी के टुकड़े से खुला अटका हुआ है।,,
fire-explosion,fire-explosion.steps[3].choices[0].text,option,Leave it — you are in the middle of an evacuation,छोड़ दें — आप निकासी के बीच में हैं,,
fire-explosion,fire-explosion.steps[3].choices[0].feedback,feedback,A wedged fire door is a hole in the compartment that is supposed to hold the fire back. It takes one kick to clear and it protects everyone still behind you.,अटका हुआ फायर डोर उस दीवार में छेद है जो आग को रोकने के लिए बनी है। इसे हटाने में एक लात लगती है और यह आपके पीछे बचे हर व्यक्ति की रक्षा करता है।,,
fire-explosion,fire-explosion.steps[3].choices[1].text,option,Kick the wedge clear so the door can swing shut behind you,टुकड़े को लात मारकर हटाएं ताकि दरवाज़ा आपके पीछे बंद हो सके,,
fire-explosion,fire-explosion.steps[3].choices[1].feedback,feedback,Correct. Fire doors buy the time the evacuation depends on. Clearing a wedge costs a second and restores the compartment.,सही। फायर डोर वह समय देते हैं जिस पर निकासी टिकी है। टुकड़ा हटाने में एक सेकंड लगता है और कम्पार्टमेंट बहाल हो जाता है।,,
fire-explosion,fire-explosion.steps[3].choices[2].text,option,Stop and find maintenance to report the wedge,रुककर मेंटेनेंस को खोजें और टुकड़े की रिपोर्ट करें,,
fire-explosion,fire-explosion.steps[3].choices[2].feedback,feedback,"The reporting is right, the timing is wrong. Standing still in a smoke path to find someone is how people are overcome. Clear it, keep moving, report it at the muster point.","रिपोर्ट करना सही है, समय गलत है। धुएं के रास्ते में किसी को खोजने के लिए खड़े रहना ऐसे ही लोग बेहोश होते हैं। हटाएं, चलते रहें, मस्टर पॉइंट पर रिपोर्ट करें।",,
fire-explosion,fire-explosion.steps[4].prompt,prompt,At the assembly point the supervisor counts heads. One worker from your section is not there.,असेंबली पॉइंट पर सुपरवाइज़र गिनती कर रहा है। आपके सेक्शन का एक श्रमिक वहां नहीं है।,,
fire-explosion,fire-explosion.steps[4].choices[0].text,option,Go back in to look for them — you know where they usually work,उन्हें खोजने अंदर वापस जाएं — आप जानते हैं वे कहां काम करते हैं,,
fire-explosion,fire-explosion.steps[4].choices[0].feedback,feedback,"This is the decision that turns one casualty into two. Unplanned re-entry by an untrained person is a leading cause of secondary fatalities. You are the person who knows where they were, and that information is worth far more than your entry.","यही निर्णय एक हताहत को दो बना देता है। अप्रशिक्षित व्यक्ति का बिना योजना दोबारा प्रवेश दूसरी मौतों का प्रमुख कारण है। आप वह व्यक्ति हैं जो जानता है वे कहां थे, और वह जानकारी आपके प्रवेश से कहीं अधिक मूल्यवान है।",,
fire-explosion,fire-explosion.steps[4].choices[1].text,option,Report the name and their last known location to the incident controller,नाम और उनकी अंतिम ज्ञात जगह इंसिडेंट कंट्रोलर को बताएं,,
fire-explosion,fire-explosion.steps[4].choices[1].feedback,feedback,Correct. You hold information the rescue team cannot get anywhere else. Handing it over immediately is the highest-value action available to you.,सही। आपके पास वह जानकारी है जो बचाव दल को कहीं और से नहीं मिल सकती। उसे तुरंत सौंपना आपके लिए उपलब्ध सबसे मूल्यवान कार्रवाई है।,,
fire-explosion,fire-explosion.steps[4].choices[2].text,option,Assume they used a different exit and stay quiet,मान लें उन्होंने दूसरा निकास इस्तेमाल किया और चुप रहें,,
fire-explosion,fire-explosion.steps[4].choices[2].feedback,feedback,"A silent assumption removes them from the search. If you have not seen them, say so — an unnecessary check costs minutes, an unreported absence can cost a life.","चुपचाप मान लेना उन्हें तलाश से हटा देता है। यदि आपने उन्हें नहीं देखा, तो बताएं — एक बेवजह जांच में कुछ मिनट लगते हैं, बिना रिपोर्ट अनुपस्थिति एक जान ले सकती है।",,
fire-explosion,fire-explosion.steps[5].prompt,prompt,The fire is out. A colleague starts setting up to resume the grinding job to make up lost time.,आग बुझ गई है। एक सहकर्मी खोया समय पूरा करने के लिए ग्राइंडिंग का काम दोबारा शुरू करने की तैयारी कर रहा है।,,
